filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2015,pending,UKR,n.a.,"Littop Enterprises Limited, Bridgemont Ventures Limited and Bordo Management Limited v. Ukraine",NA,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ECA,Ukraine-Cyprus BIT,Electric power concession,UTL,US$5000m,5000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,USA,n.a.,Domtar Inc. v. United States of America,NA,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Manufacturing (paper),MFG,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,USA,n.a.,CANACAR v. United States of America,NA,n.a.,NA,NA,MEX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Services (trucking),SER,"In notice of arbitration, estimates loss at more than US$2b per year (and Mexico accordingly imposed tariffs on US$2.4b in US goods). So: included here as 1 year's losses (US$2b)",2000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,ARB/13/6,Vladislav Kim and others v. Uzbekistan,NA,n.a.,NA,NA,KAZ,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan-Uzbekistan BIT,Manufacturing (cement),MFG,US$500m,500,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,ARB/13/26,"Spentex Netherlands, B.V. v. Republic of Uzbekistan",NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Uzbekistan BIT, Contract, Uzbekistan Investment Law (1998)",Textile enterprise,MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,ARB/13/19,Gunes Tekstil Konfeksiyon Sanayi ve Ticaret Limited Sirketi and others v. Republic of Uzbekistan,NA,n.a.,NA,NA,TUK,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Turkey-Uzbekistan BIT, Uzbekistan Investment Law (1998)",unknown,unknown,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,ARB/13/9,Federal Elektrik Yatirim ve Ticaret AS and others v. Uzbekistan,NA,n.a.,NA,NA,TUR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Turkey-Uzbekistan BIT, Uzbekistan Investment Law (1998), Energy Charter Treaty",Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,ARB/12/22,Venoklim Holding B.V. v. Bolivarian Republic of Venezuela,NA,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Venezuela BIT,Manufacturing (lubricants),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,VEN,ARB(AF)/14/1,Anglo American PLC v. Bolivarian Republic of Venezuela,NA,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,UK-Venezuela BIT,Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,VNM,n.a.,RECOFI v. Vietnam,NA,n.a.,NA,NA,FRA,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Vietnam BIT,Food assistance program,AGR,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,YEM,ARB/14/30,Beijing Urban Construction Group Co. Ltd. V. Republic of Yemen,NA,n.a.,NA,NA,CHN,pending,NA,n.a.,0,n.a.,n.a.,n.a.,n.a.,ICSID,China-Yemen BIT,Airport,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,YUG,ARB/09/21,"UAB ""ARVI"" ir ko & UAB ""SANITEX"" v. Republic of Serbia",NA,n.a.,NA,NA,LTU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Lithuania-Montenegro BIT, Serbia-Lithuania BIT",Manufacturing (fertilizer),MFG,?_50m,63.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CAN,n.a.,Eli Lilly v. Canada,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Pharmaceuticals enterprise,MFG,CAD500m,500,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,CAN,(PCA Case No. 2016-13),Resolute Forest Products Inc. v. Canada,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,n.a.,NAFTA,Manufacturing (paper),MFG,US$70m,70,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,PNG,ARB/13/33,PNG Sustainable Development Program Ltd. v. Independent State of Papua New Guinea,0,n.a.,NA,NA,SGP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Papua New Guinea Investment Law,Mining (gold and copper),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,TZA,ARB/10/20,Standard Chartered Bank (Hong Kong) Limited v. Tanzania Electric Supply Company Limited,0,n.a.,NA,NA,HKG,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,ARG,ARB/07/31,HOCHTIEF Aktiengesellschaft v. Argentine Republic,0,n.a.,NA,NA,DEU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Germany BIT,Highway construction project,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,ARG,ARB/07/26,"Urbaser S.A. & Consorcio de Aguas Bilbao Biskaia, Bilbao Biskaia Ur Partzuergoa v. Argentine Republic",0,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Water services concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,ARG,ARB/09/1,"Claims arising out of the alleged expropriation and unlawful revocation of aviation licenses by the Lebanese government from the claimant's subsidiary, ImperialJet.",0,n.a.,NA,NA,ESP,pending,0,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Aviation,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,AUS,12/1/2012,Philip Morris Asia Limited v. The Commonwealth of Australia,0,n.a.,NA,NA,HKG,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Australia-Hong Kong BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,AUT,ARB/15/32,Belegging-Maatschappij ???Far East??? v. Austria,0,n.a.,NA,NA,MLT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Malta BIT,Banking,FIN,EUR200000000 ,165.3,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,BGD,ARB/10/18,"Niko Resources (Bangladesh) Ltd. v. People's Republic of Bangladesh, Bangladesh Petroleum Exploration and Production Company Limited (""Bapex"") and Bangladesh Oil Gas and Mineral Corporation (""Petrobangla"")",0,n.a.,NA,NA,BRB,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,US$35.71m,35.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,BRB,6/1/2012,Peter A. Allard v. The Government of Barbados,0,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Barbados-Canada BIT,Real Estate,RE,US$35m,35,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,CAN,ARB(AF)/07/4,Mobil Investments Canada Inc. and Murphy Oil Corporation v. Canada,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Oil and gas,OIL,Approximately US$60m,60,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,pending,CAN,4/1/2009,Bilcon of Delaware et al v. Canada,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,Mining (quarrying),MIN,US$188m,188,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,CAN,2012-17,Mesa Power Group LLC v. Canada,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,Electric power concession (wind),UTL,US$775m,775,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,CAN,ARB(AF)/12/3,Mercer International Inc. v. Canada,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Electric power concession (biomass),UTL,"CAD250m, plus costs, pre-award and post-award interest, and compensation for tax consequences of the award",250.3,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,CMR,ARB/15/18,Capital Financial Holdings Luxembourg S.A. v. Republic of Cameroon,0,n.a.,NA,NA,LUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Banking,FIN,EUR100000000,112,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,CRI,ARB/12/4,Supervision y Control S.A. v. Republic of Costa Rica,0,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Costa Rica-Spain BIT,Vehicle inspection facilities,SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,CRI,ARB/13/2,Cervin Investissements S.A. and Rhone Investissements S.A. v. Republic of Costa Rica,0,n.a.,NA,NA,CHE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Costa Rica-Switzerland BIT,Oil and gas (distribution),OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,DOM,ARB(AF)/14/3,"Corona Materials, LLC v. Dominican Republic",0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,CAFTA-DR,Mining and quarrying,MIN,US$100m,100,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,DZA,ARB/12/35,Orascom TMT Investments S.a r.l. v. People's Democratic Republic of Algeria,0,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Algeria BIT,Telecommunications,TEL,US$5b,5000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2008,pending,ECU,ARB/08/6,Perenco Ecuador Limited v. Republic of Ecuador & Empresa Estatal Petr??leos del Ecuador (Petroecuador),0,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-France BIT,Oil and gas,OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,ECU,2009-23,Chevron Corporation and Texaco Petroleum Corporation v. The Republic of Ecuador,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,Ecuador-United States BIT,Oil and gas,OIL,At least US$18b (per amended claim in 2010),1800,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,EGY,ARB/12/11,Ampal-American Israel Corporation and others v. Arab Republic of Egypt,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,DEU,n.a.,n.a.,n.a.,ICSID,"Egypt-United States BIT, Egypt-Germany BIT",Oil and gas,OIL,US$8000m,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,ESP,ARB/13/36,Eiser Infrastructure Limited and Energia Solar Luxembourg S.a r.l. v. Spain,0,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,BELLUX,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession (solar),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,EST,ARB/14/24,AS Tallinna Vesi v. Estonia,0,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Estonia-Netherlands BIT,Water services concession,UTL,?_90m,120,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,EST,ARB/14/24,United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia,0,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Estonia BIT,Water and sewage concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,GRC,ARB/13/8,"Posstova banka, a.s. and ISTROKAPITAL SE v. Greece",0,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,SVK,n.a.,n.a.,n.a.,ICSID,"Cyprus-Greece BIT, Slovakia-Greece BIT",Finance (debt instruments),FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,GRC,ARB/14/16,Cyprus Popular Bank Public Co. Ltd. V. Hellenic Republic,0,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Greece-Cyprus BIT,Finance (debt instruments),FIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,HUN,ARB/07/19,Electrabel SA v. Republic of Hungary,0,n.a.,NA,NA,BELLUX,pending,NA,n.a.,NA,FRA,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,HUN,ARB/12/9,Dan Cake (Portugal) S.A. v. Hungary,0,n.a.,NA,NA,PRT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Hungary-Portugal BIT,Bakery,MFG,EUR47.9m,54.5,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,IDN,ARB/12/14 and 12/40),"Churchill Mining and Planet Mining Pty Ltd, formerly ARB/12/14 v. Republic of Indonesia",0,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Indonesia-UK BIT, Austria-Indonesia BIT",Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,IND,9/1/2013,"CC/Devas (Mauritius) Ltd., Devas Employees Mauritius Private Limited, and Telcom Devas Mauritius Limited v. Republic of India",0,n.a.,NA,NA,MUS,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,India-Mauritius BIT,Telecommunication (Satellite),TEL,US$1000m,1000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,ITA,ARB/14/3,"Blusun S.A., Jean-Pierre Lecorcier and Michael Stein v. Italian Republic",0,n.a.,NA,NA,BEL,pending,NA,n.a.,NA,FRA,DEU,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession (photovoltaic),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,JOR,ARB/13/38,Fouad Alghanim & Sons Co. and others v. Jordan,0,n.a.,NA,NA,KWT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Jordan-Kuwait BIT,Telecommunications,TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,KAZ,ARB/13/13,Caratube International Oil Company LLP and Devincci Salah Hourani v. Republic of Kazakhstan,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Kazakhstan-United States BIT, Contract, Kazakhstan Investment Law (1994)",Oil and gas (exploration),OIL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,KGZ,ARB(AF)/13/1,Consolidated Exploration Holdings Ltd. and others v. Kyrgyz Republic,0,n.a.,NA,NA,KAZ,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"Kazakhstan-Kyrgyzstan BIT, Kyrgyz Investment Law (2003), Moscow Convention for the Protection of Investors?? Rights",Mining (gold),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,KGZ,2015-32,Stans Energy Corp. and Kutisay Mining LLC v. Kyrgyz Republic (II),0,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,PCA,CIS Investor Rights Convention,Mining (rare earths),MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,LBY,ARB(AF)/15/1,Strabag SE v. Libya,0,n.a.,NA,NA,AUT,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,Austria-Libya BIT,Construction,UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,LVA,ARB/12/33,UAB E energija (Lithuania) v. Republic of Latvia,0,n.a.,NA,NA,LTU,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Latvia-Lithuania BIT,Electric power concession,UTL,EUR7m,8.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,MDA,V2012/175,Energoalians SARL v. Republic of Moldova,0,n.a.,NA,NA,UKR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,SCC,"Moldova-Ukraine BIT, Energy Charter Treaty",Electric power concession,UTL,US$1.7m,1.7,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,MEX,ARB(AF)/12/4,Telefonica S.A. v. United Mexican States,0,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,Mexico-Spain BIT,Telecommunications (mobile),TEL,More than US$1b,1000,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,MEX,ARB(AF)/15/2,Lion Mexico Consolidated L.P. v. United Mexican States,0,n.a.,NA,NA,CAN,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Construction,UTL,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MNE,ARB/14/8,CEAC Holdings Limited v. Montenegro (parallel under UNCITRAL),0,n.a.,NA,NA,CYP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Cyprus-Montenegro BIT,Aluminum (bauxite),MIN,US$1362m,1362,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MOZ,ARB(AF)/14/2,Oded Besserglik v. Republic of Mozambique,0,n.a.,NA,NA,ZAF,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID AF,"Mozambique-South Africa BIT, Mozambique Investment Law (1993)",Agricultural enterprise (fishing),AGR,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,PAK,ARB/12/1,Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan,0,n.a.,NA,NA,AUS,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Australia-Pakistan BIT,Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,PAK,ARB/13/1,Karkey Karadeniz Elektrik Uretim A.S. v. Pakistan,0,n.a.,NA,NA,TUR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-Pakistan BIT,Electric power concession (floating barges),UTL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,PAN,ARB/13/28,"Transglobal Green Energy LLC and Transglobal Green Panama, S.A. v. Panama",0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Panama-United States BIT,Electric power and hydrocarbon concession,UTL,US$2500m,2500,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,PER,UNCT/13/1,"Renco Group, Inc v. Peru",0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID UNCITRAL,Peru-United States Trade Promotion Agreement,Mining,MIN,US$800m,800,no,n.a.,n.a.,no,n.a.,n.a.,n.a.
2012,pending,ROM,ARB/12/25,Marco Gavazzi and Stefano Gavazzi v. Romania,0,n.a.,NA,NA,ITA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Romania BIT,Steel production,MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,SDN,ARB/14/2,Michael Dagher v. Republic of the Sudan,0,n.a.,NA,NA,JOR,pending,NA,n.a.,NA,LBN,n.a.,n.a.,n.a.,ICSID,"Sudan-Jordan BIT, Sudan-Lebanon BIT",Telecommunications (wireless internet),TEL,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,SEN,ARB/14/19,VICAT v. Republic of Senegal,0,n.a.,NA,NA,FRA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Senegal-France BIT,Manufacturing (cement),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2015,pending,SEN,ARB/15/21,Menzies Middle East and Africa S.A. and Aviation Handling Services International Ltd. v. Republic of Senegal,0,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,NLD,n.a.,n.a.,n.a.,ICSID,"Netherlands-Senegal BIT, Senegal-United Kingdom BIT, GATS",Transportation (airport services),SER,EUR41.63m,44.11,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,SLV,ARB/09/12,Pac Rim Cayman LLC v. Republic of El Salvador,0,n.a.,NA,NA,USA,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,"CAFTA-DR, El Salvador Investment Law (1999)",Mining (gold and silver),MIN,"US$75m plus uncalculated losses (estimated at no less than an additional $75m), plus interest and legal costs",75,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2005,pending,SVN,ARB/05/24,Hrvatska Elektropriveda d.d. (HEP) v. Republic of Slovenia,0,n.a.,NA,NA,HRV,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Electric power concession (nuclear),UTL,?_31.7m,35,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,TKM,ARB/10/24,I??kale Insaat Limited Sirketi v. Turkmenistan,0,n.a.,NA,NA,TUR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-Turkmenistan BIT,Real estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,UKR,ARB/14/17,Krederi Ltd. V. Ukraine,0,n.a.,NA,NA,GBR,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Ukraine-UK BIT,Real estate,RE,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,URY,ARB/10/7,"Philip Morris Brands Sarl (Switzerland), Philip Morris Products S.A. (Switzerland) and Abal Hermanos S.A. (Uruguay) v. Oriental Republic of Uruguay (formerly FTR Holding SA, Philip Morris Products S.A. and Abal Hermanos S.A. v. Oriental Republic of Uruguay)",0,n.a.,NA,NA,CHE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Switzerland-Uruguay BIT,"Manufacturing (cigarettes, tobacco)",MFG,US$2000m,2000m,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,ARB/11/5,Longreef Investments A.V.V. v. Bolivarian Republic of Venezuela,0,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Venezuela BIT,Agricultural enterprise (coffee),AGR,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,ARB/11/19,Koch Minerals Sarl and Koch Nitrogen International S??rl v. Bolivarian Republic of Venezuela,0,n.a.,NA,NA,CHE,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Venezuela-Switzerland BIT,Manufacturing (fertilizer),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,ARB/12/24,Transban Investments Corp. v. Bolivarian Republic of Venezuela,0,n.a.,NA,NA,BRB,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Barbados-Venezuela BIT,Import/Export (vehicles),SER,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,ARB/12/20,Blue Bank International & Trust (Barbados) Ltd. v. Bolivarian Republic of Venezuela,0,n.a.,NA,NA,BRB,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Barbados-Venezuela BIT,Tourism,SER,US$200m,200,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,ARB/12/21,"Fabrica de Vidrios Los Andes, C.A. and Owens-Illinois de Venezuela, C.A. v. Bolivarian Republic of Venezuela",0,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Venezuela BIT,Manufacturing (bottling),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,VEN,ARB/13/11,"Valores Mundiales, S.L. and Consorcio Andino S.L. v. Venezuela",0,n.a.,NA,NA,ESP,pending,NA,n.a.,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Spain-Venezuela BIT,Manufacturing (tortillas and corn flour),MFG,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,VEN,ARB/14/10,"Highbury International AVV, Compania Minera de Bajo Caron AVV, and Ramstein Trading Inc. v. Bolivarian Republic of Venezuela",0,n.a.,NA,NA,NLD,pending,NA,n.a.,NA,PAN,n.a.,n.a.,n.a.,ICSID,"Venezuela-Netherlands BIT, Venezuela Investment Law (1999)",Mining,MIN,unknown,unknown,no,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
